사업장명,도로명주소,병상수,입원실수,의료인수,cluster,혼잡도,좌표정보(X),좌표정보(Y)
더서울병원,"서울특별시 성북구 아리랑로 16, 3~7층 (동선동4가)",58.0,16.0,30.0,0,보통,201389.393007427,454658.210922524
성북우리아이들병원,서울특별시 성북구 동소문로46길 10 (하월곡동),78.0,52.0,85.0,0,여유,202518.375589119,456065.671970878
사회복지법인 성가소비녀회 성가복지병원,서울특별시 성북구 종암로 191 (하월곡동),33.0,13.0,23.0,0,여유,202645.583739356,456061.113850349
신일병원,서울특별시 강북구 덕릉로 73 (수유동),75.0,28.0,15.0,0,혼잡,201857.42791954,459159.097004897
햇빛병원,서울특별시 강북구 도봉로 74 (미아동),60.0,34.0,25.0,0,보통,202598.720031765,457044.055167975
포근한재활병원,서울특별시 강북구 도봉로 266 (미아동),113.0,31.0,59.0,0,보통,202061.252065402,458882.073020606
민병원,"서울특별시 강북구 도봉로 155, 서울민병원 (미아동)",40.0,14.0,45.0,0,여유,202337.148434207,457806.819119783
서울현대병원,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",183.0,47.0,96.0,0,보통,202451.867599327,459765.521965024
강북우리병원,"서울특별시 강북구 한천로 1083, 수유동 (수유동, 광산타워)",83.0,17.0,47.0,0,보통,201930.770048587,460020.981733386
강북으뜸병원,"서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)",64.0,19.0,19.0,0,혼잡,202240.855124105,458118.709572688
서울유병원,"서울특별시 강북구 도봉로 77, 지하2층~지하1층, 3층~8층층 (미아동)",54.0,24.0,43.0,0,여유,202541.070832521,457081.260634815
의료법인성화의료재단  대한병원,"서울특별시 강북구 도봉로 301 (수유동, 대한병원)",201.0,41.0,56.0,0,혼잡,201952.090791867,459227.557988451
국립재활원,"서울특별시 강북구 삼각산로 58 (수유동, 국립재활원)",264.0,56.0,128.0,0,보통,200868.4734049,459614.353526648
의료법인한전의료재단 한일병원,"서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)",417.0,103.0,600.0,0,여유,202466.119176743,460394.329853007
서울노보스병원,서울특별시 도봉구 도봉로 755(도봉동),242.0,64.0,109.0,0,보통,203784.030841855,463306.561200616
바로선병원,"서울특별시 도봉구 도봉로 628 (창동, 바로선병원)",136.0,41.0,117.0,0,여유,203650.127964614,461998.908925832
에이치큐브병원,서울특별시 도봉구 도봉로 604 (창동),54.0,30.0,23.0,0,보통,203556.661562956,461771.054429344
의료법인 상원의료재단 강북힘찬병원,"서울특별시 도봉구 도봉로 446, 강북힘찬병원 (창동)",152.0,33.0,90.0,0,보통,202877.044270305,460368.674382853
정석병원,"서울특별시 노원구 노해로 502, 2층, 3층, 5층 (상계동)",53.0,10.0,32.0,0,여유,205550.908407551,461343.062226682
강북연세병원,서울특별시 노원구 동일로 996 (공릉동),82.0,20.0,74.0,0,여유,206592.199165568,457438.713791301
새힘병원,서울특별시 노원구 노원로 416(상계동),48.0,16.0,25.0,0,보통,205922.151234054,461261.657201799
한국원자력의학원원자력병원,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",474.0,162.0,641.0,1,여유,207192.873108421,458452.733971782
인제대학교 상계백병원,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",487.0,125.0,949.0,1,여유,205488.916466022,460701.027580932
노원을지대학교병원,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",545.0,125.0,668.0,1,여유,206102.455977834,459346.769704089
메디아이여성병원,"서울특별시 노원구 노원로 448 (상계동, 메디아이여성병원)",36.0,22.0,63.0,0,여유,205845.013422713,461572.838654552
방병원,"서울특별시 노원구 동일로 989, 1~9층 (공릉동)",67.0,17.0,64.0,0,여유,206552.561558601,457344.469525861
본바움병원,"서울특별시 은평구 불광로 29, 3~11층 (대조동)",47.0,15.0,37.0,0,여유,193651.134148026,456526.076692087
의료법인 청구성심병원,서울특별시 은평구 통일로 873 (갈현동),202.0,57.0,181.0,0,여유,192828.601825992,457608.289925664
인정병원,서울특별시 은평구 응암로 164 (응암동),40.0,22.0,35.0,0,여유,192542.250837577,453806.882406932
서울재활병원,서울특별시 은평구 갈현로11길 30 (구산동),80.0,17.0,33.0,0,보통,191702.159455982,455932.140095298
서울병원,서울특별시 은평구 진흥로 191 (대조동),55.0,18.0,28.0,0,보통,193814.576026954,456279.905534701
본서부병원,서울특별시 은평구 은평로 133 (응암동),49.0,15.0,27.0,0,보통,193094.466511401,455408.434327848
연세노블병원,서울특별시 은평구 서오릉로 37 (녹번동),94.0,24.0,28.0,0,혼잡,193261.272622326,455751.119631105
은평연세병원,서울특별시 은평구 연서로 177 (갈현동),73.0,24.0,27.0,0,보통,192640.903780482,456933.471863348
서울특별시서북병원,서울특별시 은평구 갈현로7길 49 (역촌동),255.0,80.0,229.0,0,여유,191428.12937323,455780.41102268
최원호병원,"서울특별시 은평구 서오릉로 45, 최원호병원 (녹번동)",90.0,18.0,36.0,0,보통,193205.566015544,455829.616998307
의료법인 성누가의료재단 성누가병원,"서울특별시 은평구 통일로 726, 불광메디컬타워 1~12층 (불광동)",30.0,10.0,19.0,0,여유,193778.708753016,456467.985518055
리드힐병원,"서울특별시 은평구 연서로 10, 지하2~지상9층 (역촌동)",40.0,15.0,24.0,0,보통,192551.98978217,455278.568446081
가톨릭대학교 은평성모병원,서울특별시 은평구 통일로 1021 (진관동),805.0,235.0,1353.0,1,여유,192525.587513982,459028.508907601
연세대학교의과대학세브란스병원,서울특별시 서대문구 연세로 50-1 (신촌동),2189.0,830.0,4837.0,2,여유,194584.959249312,451381.585492051
서울호흡안심병원,서울특별시 서대문구 세무서길 20 (홍제동),50.0,18.0,11.0,0,혼잡,195146.999777053,454066.897623623
의료법인동신의료재단 동신병원,"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",205.0,59.0,115.0,0,보통,194321.417441299,453224.786009361
가자연세병원,"서울특별시 서대문구 수색로 18, 2~5층 (남가좌동, 영보웨딩부페)",40.0,12.0,32.0,0,여유,192562.973370487,451852.14962353
신촌연세병원,"서울특별시 마포구 서강로 110, 지2층~6층 (신수동)",116.0,38.0,66.0,0,보통,194068.379605116,450023.977767846
연세한강병원,"서울특별시 마포구 마포대로 25, 대농빌딩 2,3,5층 (마포동)",49.0,14.0,36.0,0,여유,195051.53369717,448575.956518546
세솟는정형외과병원,"서울특별시 마포구 백범로 26, 세솟는병원 (신수동)",30.0,10.0,10.0,0,보통,194363.589730635,450007.19193806
위비앙병원,서울특별시 마포구 신촌로 240 (아현동),43.0,18.0,20.0,0,보통,195728.22322929,450517.899048451
서울연세병원,"서울특별시 마포구 토정로 271, 대현빌딩 지하1층,지상2~6층 (용강동)",44.0,14.0,26.0,0,보통,194654.585202529,448914.521960764
올센병원,"서울특별시 마포구 독막로 241, 지하2-3층, 지상2-5층 (대흥동)",58.0,18.0,29.0,0,보통,194681.263317912,449408.790227561
서울특별시서남병원,서울특별시 양천구 신정이펜1로 20 (신정동),297.0,76.0,368.0,0,여유,185179.358877689,445532.444934761
목동제일여성병원,서울특별시 양천구 중앙로 300 (신정동),39.0,22.0,7.0,0,혼잡,186831.15837972,446764.915938532
이화여자대학교의과대학부속목동병원,서울특별시 양천구 안양천로 1071 (목동),667.0,208.0,1450.0,1,여유,189878.40729119,448255.199632516
홍익병원,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",267.0,76.0,279.0,0,여유,187879.054915494,447370.031967944
메디힐병원,"서울특별시 양천구 남부순환로 331 (신월동, 메디힐병원)",116.0,36.0,90.0,0,여유,184727.430998613,448317.177185441
포미즈여성병원,"서울특별시 양천구 공항대로 610 (목동, 정종일산부인과)",31.0,18.0,13.0,0,보통,188635.230900983,449396.806374349
힘찬병원,"서울특별시 양천구 신목로 120 (목동, 힘찬병원)",151.0,29.0,143.0,0,여유,189047.941727937,446975.068504489
방화병원,"서울특별시 강서구 양천로 92, 지하1, 지상1~6층 층호 (방화동, 방화정형외과)",30.0,11.0,12.0,0,보통,183500.183270254,452337.321434998
서울고든병원,"서울특별시 강서구 양천로 600, 파인블루빌딩 지하1층,2,7,8층 ,9,10호 (등촌동)",84.0,20.0,49.0,0,보통,187974.228864018,450369.165403996
서울큰나무병원,"서울특별시 강서구 강서로 206, 1층일부,2~6층 (화곡동)",82.0,23.0,37.0,0,보통,185617.497941805,449153.637971735
이화여자대학교의과대학부속서울병원,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",854.0,429.0,2043.0,1,여유,185455.170806691,450604.239360205
강서바른세상병원,"서울특별시 강서구 금낭화로 9, 바른세상병원 1~7층 (방화동)",118.0,34.0,44.0,0,보통,183284.388090473,451554.110365625
에스앤유서울병원,"서울특별시 강서구 공항대로 237, 에이스타워 마곡 3,4,5,6층 (마곡동)",89.0,25.0,89.0,0,여유,185253.47815088,450811.037605568
서울원병원,"서울특별시 강서구 강서로 179, 6~10층 (화곡동)",68.0,24.0,34.0,0,보통,185725.161390724,448911.264785071
비에스코아이비인후과병원,"서울특별시 강서구 강서로 323, 4~8층 (내발산동)",35.0,21.0,23.0,0,여유,185487.641769266,450280.85856253
서울필병원,서울특별시 강서구 강서로 357 (내발산동),72.0,24.0,34.0,0,보통,185569.392871863,450611.074306467
원탑병원,"서울특별시 강서구 등촌로 15, 3~6층 (화곡동)",74.0,20.0,34.0,0,보통,187868.192160081,447679.060113622
강서푸른꿈성모어린이병원,"서울특별시 강서구 공항대로41길 34, 플러스존 3,8,9층 (등촌동)",68.0,43.0,33.0,0,보통,186299.74267687,450792.016505679
실로암안과병원,"서울특별시 강서구 등촌로 181 (등촌동, 실로암안과병원)",51.0,13.0,46.0,0,여유,187731.084393625,449330.107139552
유광사여성병원,서울특별시 강서구 강서로 194 (화곡동),75.0,41.0,17.0,0,혼잡,185695.270517981,449055.885616277
핑크힐병원,서울특별시 강서구 양천로 712 (염창동),30.0,14.0,6.0,0,혼잡,188873.308682321,449696.809808019
미즈메디병원,서울특별시 강서구 강서로 295 (내발산동),102.0,65.0,231.0,0,여유,185439.385067186,450008.139145119
강서송도병원,"서울특별시 강서구 공항대로 315 (등촌동, 서울시니어강서타워)",51.0,16.0,27.0,0,보통,186043.311279081,450704.666838076
웰튼병원,"서울특별시 강서구 마곡중앙5로 22, 지하1,2층 4,11,12층호 (마곡동)",52.0,14.0,38.0,0,여유,184496.437996802,451677.575370424
솔병원,"서울특별시 강서구 방화대로 352, 1~4층 (방화동)",49.0,13.0,26.0,0,보통,183782.987028949,452237.309625707
서울스타병원,"서울특별시 강서구 강서로 307, 서울스타병원빌딩 3,4,5,6,7,층 8,9호 (내발산동)",57.0,19.0,19.0,0,보통,185458.962703807,450122.621875688
강서케이병원,"서울특별시 강서구 가로공원로 187, 강서케이병원 (화곡동)",70.0,18.0,34.0,0,보통,185500.498361103,448361.495133865
서울대효병원,"서울특별시 강서구 강서로47가길 33, 덕산빌딩 2,3,4,5,6층 (내발산동)",147.0,27.0,50.0,0,보통,185417.671117954,449870.265715482
강서힘찬병원,"서울특별시 강서구 강서로56길 38, 강서힘찬병원 (등촌동)",113.0,24.0,82.0,0,여유,185851.053632398,450781.441229945
부민병원,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",300.0,124.0,362.0,0,여유,186764.38128991,450518.080943938
우리들병원,서울특별시 강서구 하늘길 70 (과해동),165.0,41.0,139.0,0,여유,182141.205465089,451078.47991
목동현대웰병원,"서울특별시 구로구 중앙로 91, 본소클리닉스 (고척동)",78.0,21.0,28.0,0,보통,187589.446384647,444825.082812753
의료법인 서울효천의료재단 에이치플러스재활자립병원,"서울특별시 구로구 공원로6가길 4, 고려 수 타워 (구로동)",142.0,39.0,53.0,0,보통,190344.191572332,444414.17086261
포그니병원,"서울특별시 구로구 경인로 393-7, 일이삼전자타운 2동 6,7층 (고척동)",99.0,36.0,18.0,0,혼잡,187826.698183821,443925.52468616
고려대학교의과대학부속구로병원,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",1008.0,287.0,2030.0,1,여유,189737.563067918,443329.459368413
구로성심병원,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",202.0,47.0,190.0,0,여유,188114.404383349,444166.198422671
참튼튼병원,"서울특별시 구로구 시흥대로 547, 금강빌딩 지하1,2~10층(구로동), 디지털로32가길 25, 티타운빌딩 B102,103,205,206,302 (구로동)",56.0,12.0,62.0,0,여유,191118.289291823,442223.132052108
예스병원,"서울특별시 구로구 구로동로 147, MEDI FLOWER 147 (구로동)",58.0,12.0,42.0,0,여유,189614.168824038,443289.375602701
삼성미래여성병원,"서울특별시 구로구 서해안로 2296, 삼성미래여성병원 (오류동)",51.0,33.0,21.0,0,보통,185818.005782408,443237.927427791
의료법인 우리아이들 의료재단 우리아이들병원,"서울특별시 구로구 새말로 15, 2~10층,11층 일부호 (구로동, 삼전 솔하임)",73.0,54.0,76.0,0,여유,189538.879839832,444449.405034497
아름제일병원,"서울특별시 구로구 새말로 94, 2~6층, 9층 / 새말로 110 지하1층동 3~6층 (구로동)",97.0,44.0,49.0,0,보통,190244.829015482,444811.238193821
연세사랑모아여성병원,서울특별시 구로구 중앙로 100 (고척동),31.0,17.0,10.0,0,혼잡,187606.693801873,444911.925277155
희명병원,서울특별시 금천구 시흥대로 244 (시흥동),166.0,37.0,120.0,0,여유,191137.455219209,439289.513727463
아카시아병원,서울특별시 금천구 시흥대로114길 5 (독산동),41.0,15.0,14.0,0,보통,190957.784165545,440664.026209889
새움병원,"서울특별시 금천구 시흥대로139길 8, 새움병원 (독산동)",100.0,29.0,71.0,0,여유,190879.785534795,441215.679173384
서울대효병원,"서울특별시 금천구 시흥대로 230, 서평빌딩 5,6,7층 (시흥동)",110.0,27.0,28.0,0,혼잡,191191.868732053,439144.877856068
금천수병원,"서울특별시 금천구 남부순환로 1400, 1층~9층 (독산동)",194.0,65.0,42.0,0,혼잡,191659.51307314,441984.502153591
서울바른세상병원,"서울특별시 금천구 시흥대로 421 (독산동, 건국빌딩)",88.0,16.0,64.0,0,여유,190880.477053829,441004.490706785
성애의료재단 성애병원,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",276.0,96.0,327.0,0,여유,193103.15995228,445540.317920093
한림대학교 강남성심병원,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",572.0,124.0,1127.0,1,여유,191856.261805151,443459.357676774
가톨릭대학교 여의도성모병원,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",430.0,136.0,828.0,1,여유,194324.398950764,446208.114169683
명지성모병원,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",225.0,52.0,192.0,0,여유,191020.895439491,443528.607969174
한림대학교 한강성심병원,"서울특별시 영등포구 버드나루로7길 12 (영등포동7가, 한강성심병원)",144.0,39.0,172.0,0,여유,191948.638351124,446775.416951967
씨엠병원,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)",110.0,38.0,86.0,0,여유,191458.813597697,446295.815425865
의료법인 춘혜의료재단 명지춘혜재활병원,"서울특별시 영등포구 대림로 223 (대림동, 명지춘혜병원)",254.0,95.0,83.0,0,보통,190828.040487341,444275.786198925
