사업장명,좌표정보(X),좌표정보(Y),도로명주소,병상수,입원실수,의료인수,cluster,혼잡도,hpid_x,dutyName_x,dutyAddr_x,hpid_y,dutyName_y,dutyAddr_y,hpid,dutyName,dutyAddr
광혜병원,205649.655013836,445122.570820205,"서울특별시 강남구 영동대로86길 9 (대치동, 지하1~2층,2~7층)",79.0,26.0,24.0,0,혼잡,,,,,,,,,
튼튼병원,204855.579518894,446576.858605648,"서울특별시 강남구 영동대로 713, B1~6층, 7층일부,8층 (청담동)",120.0,24.0,47.0,0,보통,,,,,,,,,
강남제이에스병원,202913.913256452,443081.800019702,"서울특별시 강남구 도곡로 122, 제이에스빌딩 (도곡동)",46.0,19.0,12.0,0,혼잡,,,,,,,,,
강남지인병원,203030.36156512,445624.927581211,"서울특별시 강남구 언주로 631, 강남지인병원 지하2층. 2~6층 (논현동)",30.0,10.0,30.0,0,여유,,,,,,,,,
청담병원,203964.892184371,446494.018304012,"서울특별시 강남구 삼성로147길 46 (청담동, 청담병원 지하1층, 1층일부, 2층~6층)",199.0,70.0,98.0,2,보통,,,,,,,,,
담소유병원,202989.733899789,445845.968560425,"서울특별시 강남구 학동로 234, 담소유빌딩 (논현동)",30.0,17.0,38.0,0,여유,,,,,,,,,
강남초이스병원,204215.162571746,444731.386522359,"서울특별시 강남구 테헤란로 337, 4~8층 (역삼동)",31.0,8.0,15.0,0,보통,,,,,,,,,
지앤지병원,205207.402270867,446004.891602084,"서울특별시 강남구 영동대로 626, 2~10층 (삼성동, GNG병원빌딩)",30.0,30.0,23.0,0,여유,,,,,,,,,
트리니티병원,205116.195218249,445783.267094395,"서울특별시 강남구 봉은사로 535 (삼성동, 트리니티재활병원빌딩, 지하1,2층, 지상1~11층)",152.0,71.0,65.0,2,보통,,,,,,,,,
서울본브릿지병원,203682.487186252,443363.703553222,"서울특별시 강남구 도곡로 214, 롤스웰빌딩,지하2층, 지하1층, 지상1층 일부, 지상2~7층  (도곡동)",64.0,19.0,44.0,0,여유,,,,,,,,,
새로운병원,202080.711326615,445562.134435278,"서울특별시 강남구 학동로 121, 새로운병원빌딩 지하1층일부~7층 (논현동)",30.0,9.0,19.0,0,여유,,,,,,,,,
두발로병원,202530.184769156,446900.961207356,"서울특별시 강남구 압구정로30길 45, 2~4층 (신사동)",47.0,17.0,31.0,0,여유,,,,,,,,,
더드림병원,204432.710770012,444309.006550907,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)",57.0,24.0,66.0,0,여유,A1123234,더드림병원,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)",A1123234,더드림병원,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)",A1123234,더드림병원,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)"
청담해리슨병원,204457.767008807,446164.986306256,"서울특별시 강남구 삼성로 646, 마디빌딩 B3~B1,2~9층 (삼성동)",51.0,16.0,27.0,0,여유,,,,,,,,,
모두가행복한연세병원,203388.051395369,446619.586513596,"서울특별시 강남구 선릉로 751, 카로시티Ⅲ 지하1층, 지상1층~7층 (논현동)",71.0,32.0,35.0,0,보통,,,,,,,,,
하병원,201835.394674853,445560.702719066,"서울특별시 강남구 강남대로132길 5, 지하1~2층,2~5층 (논현동)",32.0,14.0,15.0,0,보통,,,,,,,,,
연세우리병원,207649.560634469,444734.861106734,"서울특별시 송파구 백제고분로 185, 2~9층 (잠실동)",42.0,13.0,19.0,0,보통,,,,,,,,,
엠에스병원,208477.775692904,444434.523206585,"서울특별시 송파구 삼학사로 53, 태영빌딩 1~7층 (삼전동)",72.0,30.0,34.0,0,보통,,,,,,,,,
더힐병원,210574.037898234,444069.184552292,"서울특별시 송파구 송이로 81, 지하2층~지상7층층 (가락동)",62.0,26.0,23.0,0,보통,,,,,,,,,
강철병원,208267.150895889,444458.879184368,"서울특별시 송파구 백제고분로 252, SH타워 2~8층 (삼전동)",49.0,17.0,3.0,0,혼잡,A1125429,강철병원,"서울특별시 송파구 백제고분로 252, SH타워 2~8층 (삼전동)",A1125429,강철병원,"서울특별시 송파구 백제고분로 252, SH타워 2~8층 (삼전동)",A1125429,강철병원,"서울특별시 송파구 백제고분로 252, SH타워 2~8층 (삼전동)"
서울세계로병원,212511.655622483,442722.371081852,"서울특별시 송파구 위례서로 248, 지하1층, 2층, 5~12층 (거여동)",152.0,47.0,42.0,0,혼잡,,,,,,,,,
염창환병원,211005.302324733,444601.789927777,"서울특별시 송파구 오금로 296, 재정빌딩 지하1층~지상5층 (가락동)",32.0,14.0,24.0,0,여유,,,,,,,,,
빠른병원,209627.926977957,445033.492693013,"서울특별시 송파구 백제고분로 405, 유니온테크송파빌딩 (송파동)",119.0,22.0,17.0,0,혼잡,,,,,,,,,
서울석병원,210893.646668129,443517.490003737,서울특별시 송파구 송이로 148 (가락동),45.0,11.0,29.0,0,여유,,,,,,,,,
혜민안과병원,210714.053849509,443519.750532142,서울특별시 송파구 중대로 122 (가락동),32.0,11.0,17.0,0,여유,,,,,,,,,
서재곤링커병원,209831.135259298,445251.270608881,"서울특별시 송파구 백제고분로 436 (송파동, 서재곤링커병원)",66.0,22.0,38.0,0,여유,,,,,,,,,
송파드림재활병원,210736.904409143,443841.338101311,"서울특별시 송파구 송이로 111, B3-6층 (가락동, 청석빌딩)",207.0,57.0,95.0,2,보통,,,,,,,,,
선수촌병원,206916.75835,445485.4447736,"서울특별시 송파구 올림픽로 76, J타워 3~7층 (잠실동)",53.0,13.0,43.0,0,여유,,,,,,,,,
미래본병원,208730.633457015,445905.025545443,"서울특별시 송파구 송파대로 562, 2,3,8층 (신천동, 한빛프라자,삼성웰리스아파트)",44.0,14.0,35.0,0,여유,,,,,,,,,
달려라병원,211841.016730248,448062.046598197,"서울특별시 강동구 천호대로 1110, 지하5~지상9층 (성내동)",106.0,28.0,81.0,0,여유,,,,,,,,,
더셀채원병원,211159.42900767,447276.508702471,"서울특별시 강동구 성내로 66, 채원자연통합병원빌딩 (성내동)",34.0,12.0,6.0,0,혼잡,,,,,,,,,
리더스병원,211228.973206544,448307.486109902,서울특별시 강동구 천호대로 1044 (성내동),56.0,13.0,14.0,0,혼잡,,,,,,,,,
남기세병원,212084.038472021,448058.444155867,서울특별시 강동구 천호대로 1133 (길동),50.0,10.0,45.0,0,여유,,,,,,,,,
올바른서울병원,212416.582100894,448882.414137392,"서울특별시 강동구 양재대로 1525, 명품빌딩 (천호동)",91.0,30.0,43.0,0,보통,,,,,,,,,
고은빛여성병원,212244.532512145,447998.326845938,서울특별시 강동구 천호대로 1151 (길동),52.0,33.0,37.0,0,여유,,,,,,,,,
위드힘병원,212221.342539571,448245.019790445,"서울특별시 강동구 양재대로 1461, SC MEDI TOWER 2,4,5층 (길동)",65.0,30.0,17.0,0,혼잡,,,,,,,,,
123스텝업병원,210848.817337376,448349.321294041,"서울특별시 강동구 올림픽로 628-3, 지하1, 지상2~9층 (성내동)",44.0,13.0,22.0,0,보통,,,,,,,,,
공안과병원,211070.71833639,447964.735654156,서울특별시 강동구 풍성로37길 45 (성내동),30.0,14.0,41.0,0,여유,,,,,,,,,
강동연세병원,211120.614279331,449398.629637331,서울특별시 강동구 올림픽로 734 (천호동),32.0,14.0,23.0,0,여유,,,,,,,,,
사랑플러스병원,212618.653947687,449389.320472752,서울특별시 강동구 양재대로 1580 (명일동),95.0,28.0,82.0,0,여유,,,,,,,,,
의료법인송산의료재단 해양병원,385473.117196105,179880.976912079,부산광역시 중구 광복로97번길 26-2(동광동2가),146.0,55.0,17.0,2,혼잡,,,,,,,,,
